Category: All categories

Country,Gender pay gap: (01/01/2004 - 15/03/2020)
St Helena,100
United Kingdom,70
New Zealand,64
Australia,54
Guernsey,
United States,49
Tanzania,47
Sweden,45
Isle of Man,
Ireland,45
Iceland,
Zambia,
Canada,40
Jersey,
Spain,28
Malta,
Singapore,27
Luxembourg,
Austria,21
Estonia,
Trinidad & Tobago,
Mauritius,
Finland,18
Kenya,18
Chile,18
Cyprus,
Lebanon,
Hong Kong,16
South Africa,15
Puerto Rico,
Israel,14
South Korea,14
Nepal,
United Arab Emirates,13
Germany,12
Switzerland,12
Uruguay,
Norway,12
Belgium,12
Denmark,11
Cambodia,
Costa Rica,
Philippines,11
Pakistan,10
Malaysia,10
Nigeria,
Qatar,
Armenia,
Argentina,8
Dominican Republic,
Ecuador,
Peru,8
Netherlands,8
Paraguay,
Sri Lanka,
Czechia,8
Jordan,
Colombia,8
France,8
Slovenia,
El Salvador,
Latvia,
Portugal,6
Honduras,
Guatemala,
Bangladesh,
Mexico,6
Lithuania,
India,5
Hungary,5
Bolivia,
Italy,4
Palestine,
Croatia,
Morocco,
Greece,
Uzbekistan,
Slovakia,
Poland,3
Egypt,
Bulgaria,
China,3
Serbia,
Taiwan,
Romania,
Japan,2
Vietnam,2
Venezuela,
Indonesia,2
Thailand,2
Saudi Arabia,
Ukraine,
Russia,1
Turkey,1
Brazil,1
Falkland Islands (Islas Malvinas),
Marshall Islands,
Cook Islands,
Palau,
Eritrea,
São Tomé & Príncipe,
Turks & Caicos Islands,
American Samoa,
Grenada,
Vanuatu,
Åland Islands,
Northern Mariana Islands,
Equatorial Guinea,
St Kitts & Nevis,
Samoa,
Gambia,
St Barthélemy,
Malawi,
Lesotho,
Fiji,
Guam,
Sierra Leone,
British Virgin Islands,
Bhutan,
Gibraltar,
Guyana,
US Virgin Islands,
Belize,
Djibouti,
Zimbabwe,
Rwanda,
Monaco,
Cayman Islands,
Bermuda,
Barbados,
Botswana,
Bahamas,
Aruba,
Ethiopia,
Liechtenstein,
Greenland,
Eswatini,
Antigua & Barbuda,
Sint Maarten,
Uganda,
Mayotte,
Maldives,
Jamaica,
Liberia,
St Vincent & Grenadines,
Namibia,
South Sudan,
Burundi,
Dominica,
Ghana,
Curaçao,
Faroe Islands,
Papua New Guinea,
Timor-Leste,
New Caledonia,
Afghanistan,
French Guiana,
Albania,
Réunion,
St Lucia,
Macao,
Cameroon,
Mongolia,
French Polynesia,
Niger,
Somalia,
Brunei,
Haiti,
Bahrain,
Nicaragua,
Congo - Brazzaville,
Guadeloupe,
Oman,
Togo,
Panama,
Georgia,
Kosovo,
Laos,
Andorra,
Myanmar (Burma),
Benin,
Kuwait,
Suriname,
Martinique,
North Macedonia,
Cuba,
Mauritania,
Gabon,
Burkina Faso,
Guinea,
Mali,
Congo - Kinshasa,
Senegal,
Madagascar,
Turkmenistan,
Libya,
Mozambique,
Angola,
Côte d’Ivoire,
Azerbaijan,
Iraq,
Sudan,
Montenegro,
Tunisia,
Tajikistan,
Moldova,
Bosnia & Herzegovina,
Kyrgyzstan,
Kazakhstan,
Algeria,
Yemen,
Belarus,
Iran,
Syria,
Anguilla,
Antarctica,
French Southern Territories,
Caribbean Netherlands,
Bouvet Island,
Central African Republic,
Cocos (Keeling) Islands,
Comoros,
Cape Verde,
Christmas Island,
Western Sahara,
Micronesia,
Guinea-Bissau,
Heard & McDonald Islands,
British Indian Ocean Territory,
Kiribati,
St Martin,
Montserrat,
Norfolk Island,
Niue,
Nauru,
Pitcairn Islands,
North Korea,
South Georgia & South Sandwich Islands,
Svalbard & Jan Mayen,
Solomon Islands,
San Marino,
St Pierre & Miquelon,
Seychelles,
Chad,
Tokelau,
Tonga,
Tuvalu,
US Outlying Islands,
Vatican City,
Wallis & Futuna,
